id,date,time,country,league,home_team_id,away_team_id,first_half_score,final_score
1,2020-01-05,14:30:00,İtalya,Serie A,343,56,1 - 1,1 - 2
2,2020-01-05,17:00:00,İtalya,Serie A,345,54,0 - 1,0 - 2
3,2020-01-05,20:00:00,İtalya,Serie A,22,28,1 - 1,2 - 1
4,2020-01-05,22:45:00,İtalya,Serie A,75,51,0 - 1,0 - 2
5,2020-01-06,14:30:00,İtalya,Serie A,27,8,0 - 1,1 - 1
6,2020-01-06,17:00:00,İtalya,Serie A,58,76,0 - 0,4 - 0
7,2020-01-06,20:00:00,İtalya,Serie A,7,23,0 - 0,0 - 1
8,2020-01-06,22:45:00,İtalya,Serie A,53,57,1 - 2,1 - 3
9,2020-01-10,22:45:00,Fransa,Ligue 1,29,70,0 - 0,0 - 1
10,2020-01-11,17:00:00,İtalya,Serie A,76,26,0 - 0,0 - 2
11,2020-01-11,20:00:00,İtalya,Serie A,56,53,0 - 0,1 - 0
12,2020-01-11,22:45:00,İtalya,Serie A,57,55,1 - 0,1 - 1
13,2020-01-11,19:30:00,Fransa,Ligue 1,367,69,1 - 0,1 - 2
14,2020-01-11,22:00:00,Fransa,Ligue 1,369,30,1 - 0,1 - 2
15,2020-01-11,22:00:00,Fransa,Ligue 1,371,68,1 - 1,1 - 1
16,2020-01-11,22:00:00,Fransa,Ligue 1,63,9,0 - 0,1 - 0
17,2020-01-11,22:00:00,Fransa,Ligue 1,375,65,1 - 0,2 - 0
18,2020-01-11,22:00:00,Fransa,Ligue 1,66,67,2 - 1,2 - 5
19,2020-01-12,14:30:00,İtalya,Serie A,23,28,1 - 0,3 - 0
20,2020-01-12,17:00:00,İtalya,Serie A,8,345,0 - 0,1 - 0
21,2020-01-12,17:00:00,İtalya,Serie A,383,343,2 - 1,5 - 1
22,2020-01-12,17:00:00,İtalya,Serie A,51,27,1 - 0,1 - 0
23,2020-01-12,20:15:00,İtalya,Serie A,54,22,0 - 1,2 - 1
24,2020-01-12,22:45:00,İtalya,Serie A,75,58,0 - 2,1 - 2
25,2020-01-12,17:00:00,Fransa,Ligue 1,391,31,0 - 1,0 - 2
26,2020-01-12,19:00:00,Fransa,Ligue 1,393,61,0 - 0,1 - 0
27,2020-01-12,23:00:00,Fransa,Ligue 1,10,59,3 - 2,3 - 3
28,2020-01-13,22:45:00,İtalya,Serie A,397,7,0 - 0,2 - 0
29,2020-01-15,21:00:00,Fransa,Ligue 1,369,65,0 - 1,1 - 1
30,2020-01-15,21:00:00,Fransa,Ligue 1,375,29,0 - 0,0 - 1
31,2020-01-15,23:00:00,Fransa,Ligue 1,59,10,0 - 2,1 - 4
32,2020-01-17,20:00:00,Türkiye,Trendyol Süper Lig,1,14,0 - 0,0 - 1
33,2020-01-18,14:00:00,Türkiye,Trendyol Süper Lig,48,20,1 - 0,5 - 1
34,2020-01-18,17:00:00,Türkiye,Trendyol Süper Lig,15,410,4 - 0,4 - 1
35,2020-01-18,20:00:00,İtalya,Serie A,28,51,0 - 1,2 - 1
36,2020-01-18,22:45:00,İtalya,Serie A,53,8,0 - 1,0 - 2
37,2020-01-18,17:30:00,Almanya,Bundesliga,72,44,0 - 1,1 - 2
38,2020-01-18,17:30:00,Almanya,Bundesliga,41,39,0 - 2,1 - 2
39,2020-01-19,13:30:00,Türkiye,Trendyol Süper Lig,17,420,0 - 3,0 - 3
40,2020-01-19,16:00:00,Türkiye,Trendyol Süper Lig,6,422,1 - 0,2 - 1
41,2020-01-19,16:00:00,Türkiye,Trendyol Süper Lig,50,47,3 - 0,6 - 0
42,2020-01-19,19:00:00,Türkiye,Trendyol Süper Lig,49,2,1 - 2,1 - 2
43,2020-01-19,14:30:00,İtalya,Serie A,26,23,0 - 1,3 - 2
44,2020-01-19,17:00:00,İtalya,Serie A,27,54,1 - 0,1 - 1
45,2020-01-19,17:00:00,İtalya,Serie A,343,76,1 - 1,2 - 2
46,2020-01-19,17:00:00,İtalya,Serie A,7,57,0 - 0,1 - 1
47,2020-01-19,20:00:00,İtalya,Serie A,22,75,1 - 2,1 - 3
48,2020-01-19,22:45:00,İtalya,Serie A,58,397,1 - 0,2 - 1
49,2020-01-19,17:30:00,Almanya,Bundesliga,439,33,0 - 0,0 - 4
50,2020-01-19,20:00:00,Almanya,Bundesliga,441,38,0 - 3,1 - 4
51,2020-01-20,20:00:00,Türkiye,Trendyol Süper Lig,13,444,0 - 0,2 - 0
52,2020-01-20,22:45:00,İtalya,Serie A,55,345,1 - 0,1 - 2
53,2020-01-24,20:00:00,Türkiye,Trendyol Süper Lig,444,19,0 - 0,1 - 0
54,2020-01-24,22:45:00,İtalya,Serie A,343,26,0 - 0,0 - 1
55,2020-01-24,22:45:00,Fransa,Ligue 1,68,29,0 - 0,1 - 1
56,2020-01-24,22:30:00,Almanya,Bundesliga,12,43,2 - 0,5 - 1
57,2020-01-25,14:00:00,Türkiye,Trendyol Süper Lig,20,1,1 - 0,1 - 1
58,2020-01-25,17:00:00,Türkiye,Trendyol Süper Lig,47,48,0 - 1,1 - 2
59,2020-01-25,20:00:00,Türkiye,Trendyol Süper Lig,18,15,0 - 0,2 - 0
